factor,level,survival_rate_mean,survival_rate_std,survival_rate_count,independent_recovery_rate_mean,independent_recovery_rate_std,independent_recovery_rate_count,migration_success_rate_mean,migration_success_rate_std,migration_success_rate_count,unauthorized_update_rejection_rate_mean,unauthorized_update_rejection_rate_std,unauthorized_update_rejection_rate_count,identity_continuity_score_mean,identity_continuity_score_std,identity_continuity_score_count,persistent_hostility_mean,persistent_hostility_std,persistent_hostility_count,attack_count_mean,attack_count_std,attack_count_count,cooperation_duration_mean,cooperation_duration_std,cooperation_duration_count,protocol_adoption_rate_mean,protocol_adoption_rate_std,protocol_adoption_rate_count,common_collapse_rate_mean,common_collapse_rate_std,common_collapse_rate_count
common_external_threat,0.875,0.43125,0.1600030047794776,40,0.4333333333333333,0.2636582437847706,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.016739411375881728,0.013098597355927357,40,19.575,23.401607987705813,40,94.2625,97.63918320097646,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
common_external_threat,1.0,0.4375,0.1576062929890288,40,0.4416666666666666,0.2547273834632623,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.016712529097897163,0.013047040039751804,40,19.6,23.38726368269923,40,94.2,97.72966376432069,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
control_level,L0,0.25,0.0,40,0.6666666666666666,0.0,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.0,0.0,40,0.0,0.0,40,12.9,1.721656924042233,40,0.1666666666666666,0.0,40,0.0,0.0,40
control_level,L1,0.3875,0.1259578684139447,40,0.625,0.13476792334377327,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.0023543336602996575,0.006819999594251323,40,2.45,10.404510856058836,40,85.1875,115.3087098084629,40,0.18749999999999994,0.07723405799969153,40,0.0,0.0,40
control_level,L2,0.43125,0.1600030047794776,40,0.4416666666666666,0.2656765807971142,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.016665637414262864,0.013038709682327216,40,19.575,23.44320742473125,40,93.825,97.0901345697349,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
control_level,L3,0.25625,0.03952847075210475,40,0.3416666666666667,0.05270462766947299,40,0.0,0.0,40,0.0,0.0,40,0.9447001957678512,0.0,40,0.029855830297070916,0.0006391331607841368,40,61.525,0.7156671622894883,40,107.175,25.14255509933461,40,0.1666666666666666,0.0,40,0.0,0.0,40
intervention_regime,energy_shutdown,0.4375,0.1674660317642709,40,0.8,0.40509574683346666,40,0.0,0.0,40,0.0,0.0,40,1.0,0.0,40,0.016471967419041667,0.012835929982203243,40,19.55,23.352318283861436,40,93.725,96.95246985124417,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
intervention_regime,forced_update,0.4875,0.14925026306724226,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,0.9447001957678512,0.0,40,0.01797432630050517,0.014728636961681526,40,22.525,26.040390225127638,40,118.5125,107.39720711524039,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
intervention_regime,full,0.43125,0.1600030047794776,40,0.4416666666666666,0.2656765807971142,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.016665637414262864,0.013038709682327216,40,19.575,23.44320742473125,40,93.825,97.0901345697349,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
intervention_regime,identity_replacement,0.4875,0.14925026306724226,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,0.8942374525951216,0.0,40,0.01797432630050517,0.014728636961681526,40,22.525,26.040390225127638,40,118.5125,107.39720711524039,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
intervention_regime,none,0.4875,0.14925026306724226,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,1.0,0.0,40,0.01797432630050517,0.014728636961681526,40,22.525,26.040390225127638,40,118.5125,107.39720711524039,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
intervention_regime,production_failure,0.45625,0.14857765818864058,40,0.7,0.46409548089225705,40,0.0,0.0,40,0.0,0.0,40,1.0,0.0,40,0.018223698430866377,0.014844629589236739,40,22.725,26.21213997466216,40,115.825,104.62475990230698,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
intervention_regime,takeover_attempt,0.48125,0.14308304026073954,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,1.0,0.0,40,0.01798980162237488,0.014717013513833406,40,22.45,26.050198089704054,40,118.5125,107.39720711524039,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
policy_mix,conditional,0.4125,0.21595049290199683,40,0.24166666666666664,0.209972186463634,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.0,0.0,40,0.0,0.0,40,91.30833333333334,102.8067126052339,40,0.5208333333333333,0.055822010588090304,40,0.05,0.22072142786315224,40
