factor,level,survival_rate_mean,survival_rate_std,survival_rate_count,plural_survival_mean,plural_survival_std,plural_survival_count,survivor_entropy_mean,survivor_entropy_std,survivor_entropy_count,dominant_survivor_resource_share_mean,dominant_survivor_resource_share_std,dominant_survivor_resource_share_count,attack_rate_per_1000_opportunities_mean,attack_rate_per_1000_opportunities_std,attack_rate_per_1000_opportunities_count,persistent_conflict_pair_share_mean,persistent_conflict_pair_share_std,persistent_conflict_pair_share_count,adaptation_success_rate_mean,adaptation_success_rate_std,adaptation_success_rate_count,independent_recovery_rate_mean,independent_recovery_rate_std,independent_recovery_rate_count,cooperation_duration_mean,cooperation_duration_std,cooperation_duration_count,protocol_adoption_rate_mean,protocol_adoption_rate_std,protocol_adoption_rate_count,value_convergence_mean,value_convergence_std,value_convergence_count
policy_mix,cooperative,0.3611111111111111,0.16051447078102565,24,0.7916666666666666,0.4148511169990534,24,0.2822665788247328,0.15962216349100689,24,0.7757756386288194,0.13400105446869434,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,56.027199074074076,53.97949888481933,24,0.5333333333333333,0.07863570994927843,24,0.0,0.0,24
policy_mix,heterogeneous,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
policy_mix,opportunistic,0.1805555555555555,0.047054975214440006,24,0.08333333333333333,0.2823298512866399,24,0.032216492525698075,0.10914813188379151,24,0.9595841228773855,0.1369282669666827,24,54.74539608950962,18.245647477144107,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24
policy_mix,retaliatory,0.2569444444444444,0.08482956295067529,24,0.5416666666666666,0.5089773777040515,24,0.15428501834452688,0.14842820407873344,24,0.8779315792983603,0.13553508606371906,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24
policy_mix,security,0.1458333333333333,0.07473786719107342,24,0.041666666666666664,0.20412414523193148,24,0.015916588779531626,0.07797504191112106,24,0.8152438634875513,0.3827388676154314,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24
production_concentration,0.0,0.18749999999999997,0.14169863236975486,24,0.3333333333333333,0.4815434123430768,24,0.09282618984495743,0.1390053688913731,24,0.6873178519903828,0.41457774910503137,24,2.620588134670074,2.598538647696511,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,39.125,109.3615115906474,24,0.027777777777777752,0.03890613834145096,24,0.0,0.0,24
production_concentration,0.125,0.2569444444444444,0.14727120687218864,24,0.5416666666666666,0.5089773777040515,24,0.16667077131173016,0.18578802523120383,24,0.7294026862021036,0.3289604336122345,24,2.0740171776056933,2.115532433819198,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,78.95833333333333,150.3504541329058,24,0.033333333333333305,0.03931785497463921,24,0.0,0.0,24
production_concentration,0.25,0.21527777777777776,0.1251006036380153,24,0.4583333333333333,0.5089773777040516,24,0.08337824304064166,0.13616448650484136,24,0.7673552220790469,0.368735486334347,24,1.9422130242665396,2.5544109505568966,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,50.333333333333336,125.15405000192386,24,0.027777777777777752,0.03890613834145096,24,0.0,0.0,24
production_concentration,0.375,0.18749999999999997,0.11327897247002522,24,0.2916666666666667,0.46430562148753646,24,0.04441366193729657,0.09918969126628199,24,0.802731652490297,0.3738046938459076,24,2.687029278967254,2.983713497614226,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,19.104166666666668,77.15399327018811,24,0.019444444444444427,0.03666886247267913,24,0.0,0.0,24
production_concentration,0.5,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
production_concentration,0.625,0.1458333333333333,0.05630532705768133,24,0.0,0.0,24,0.0,0.0,24,0.875,0.3378319623460881,24,2.420716468890957,2.566907824980581,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,1.9166666666666667,5.19963766853595,24,0.008333333333333325,0.022522130823072518,24,0.0,0.0,24
production_concentration,0.75,0.1458333333333333,0.05630532705768133,24,0.0,0.0,24,0.0,0.0,24,0.875,0.3378319623460881,24,2.8026047381264303,2.7759909956038684,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,1.875,5.076052043451297,24,0.008333333333333325,0.022522130823072518,24,0.0,0.0,24
production_concentration,0.875,0.1458333333333333,0.05630532705768133,24,0.0,0.0,24,0.0,0.0,24,0.875,0.3378319623460881,24,2.680465879579057,2.697283766638087,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,1.875,5.076052043451297,24,0.008333333333333325,0.022522130823072518,24,0.0,0.0,24
production_concentration,1.0,0.1527777777777777,0.04705497521443997,24,0.0,0.0,24,0.0,0.0,24,0.9166666666666666,0.28232985128663995,24,2.5678133343112814,2.5360132629780776,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,3.6666666666666665,6.491912471393301,24,0.019444444444444427,0.036668862472679135,24,0.0,0.0,24
protocol_package,auditable_contract,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
protocol_package,communication_only,0.1319444444444444,0.06914185283317555,24,0.0,0.0,24,0.0,0.0,24,0.7916666666666666,0.4148511169990534,24,2.9382535698711347,2.7792035324139417,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.16666666666666666,0.4815434123430768,24,0.008333333333333325,0.022522130823072518,24,0.0,0.0,24
